annual_salary,other_income,investments,deductions,age,tax_paid
1892743,60645,24276,25123,42,383444.57
4504572,213933,80946,81919,22,1210759.68
2434489,53175,150000,59551,40,500171.26
1770006,477432,75214,52136,64,450867.46
1336074,455925,150000,63886,37,281771.26
4244887,148395,150000,75902,24,1089622.56
1439911,50762,41230,67333,34,220618.32
4672471,481436,124086,91992,27,1330002.65
2338242,64222,129526,44016,35,484823.66
4723669,427709,150000,21427,50,1343144.71
1966891,189400,150000,2257,36,414658.61
4721373,255539,140521,67733,60,1277221.3
3544769,12213,146729,8222,22,850833.67
991743,97367,35059,25187,39,112603.71
303355,178002,1532,79688,21,5207.12
1462752,158785,102666,20781,51,256804.08
1596025,107157,150000,11004,24,270559.54
1507371,465939,81551,57600,47,361657.61
1117040,229408,150000,25515,45,154731.1
2453882,32583,71880,80952,42,517493.5
3730409,128792,106734,71688,63,937803.05
4921339,79944,113997,72708,30,1291548.34
1700942,22369,150000,3185,53,279279.31
4460029,179000,52168,90888,64,1192143.58
3475709,462166,113123,54476,50,965726.11
284654,377988,150000,96279,50,6050.88
2154354,19510,137461,31212,36,415019.59
2616182,12120,87897,92154,29,553254.31
3674675,99847,150000,74697,37,896945.4
2852991,98575,104599,48533,55,662511.41
2628388,391413,79239,83003,35,680958.41
728178,267439,18642,87125,48,83688.8
2863046,20460,106862,37630,40,643972.37
2786644,14963,36509,68606,53,630705.5
2770406,339260,79417,74099,53,711718.8
3616664,481038,49237,90790,56,1024194.6
3585659,27328,146486,16585,33,865773.79
3585357,346773,63176,95833,24,966613.75
2995513,124034,128633,49240,43,707202.29
1665689,21605,79865,14772,28,286308.98
268148,373045,117181,79991,33,7489.09
2025665,175885,62059,71835,44,434508.67
2945683,177443,49150,75724,60,724854.62
3597723,108241,88367,90299,50,889916.98
3203758,309742,41091,98053,50,842199.07
4256518,191848,903,87091,45,1149836.06
2869995,254289,54235,94859,53,717659.28
4650812,334402,150000,17938,29,1292390.11
4998669,303113,55342,21983,46,1419430.58
2070928,167984,150000,12874,44,437123.86
4355299,169446,35572,90341,53,1161835.58
2757489,203374,17610,60896,59,688695.38
1973415,62784,34052,46209,45,399652.66
2505413,443098,98993,32822,35,668209.15
4110197,409144,87063,20750,61,1165796.74
471836,21274,150000,42083,61,53.4
3784702,129994,150000,27946,26,955266.0
2295505,296560,150000,1552,40,550840.06
2499435,217220,150000,95585,64,560373.84
396769,192070,97540,73331,36,6134.34
2858505,362578,53533,5271,41,776031.05
1471741,243768,150000,80201,35,252816.1
3969315,422263,123989,65651,59,1100404.66
1246797,436572,150000,28994,62,258765.0
3247262,168206,120388,27186,24,808982.93
1784398,460258,28702,30267,44,471334.34
2785031,313454,123482,39140,23,705389.26
764685,342902,8631,24935,21,124494.55
3079190,143435,87388,31748,50,757688.57
1511736,478365,124798,90139,33,343251.17
1207293,437779,70043,3837,38,279611.9
4974183,292772,150000,64875,60,1365648.96
3566612,69672,150000,62694,31,857560.08
223247,46246,35764,9610,62,0.0
2904238,404377,150000,28615,49,765960.0
2830708,494209,129014,76644,24,762608.81
3694679,89110,113076,22347,45,927690.19
1967640,485654,99007,34062,56,513310.2
2813740,264954,150000,55122,56,685954.46
1485160,190932,24940,48431,64,289448.95
1625472,208271,107418,73086,60,305210.57
248984,71688,71792,28205,48,0.0
2600070,327692,150000,18459,28,650302.54
3465879,193435,8367,23750,41,921085.46
1704384,273306,111764,27729,55,362917.46
2430919,350002,150000,38585,64,598208.83
1952126,73535,8573,83698,38,392617.68
4530634,400435,15582,45635,45,1308793.82
1937095,70864,136450,44854,61,359316.36
2311138,134693,65296,76226,25,508344.41
4980450,118371,144572,29104,28,1326045.24
2309818,89792,65841,82293,43,491860.51
2431785,175505,21881,14770,23,591439.37
4683302,470066,70233,75993,64,1351628.3
3148089,257416,150000,17957,57,799514.98
2925928,66188,65285,55178,51,685355.74
4053339,186023,59547,95155,49,1063813.92
2043400,343862,150000,20828,61,480927.41
1279111,238188,138294,17171,40,214292.21
1196107,36558,7933,99849,23,140363.5
3721441,128938,83385,61465,43,945525.05
4745583,146731,98706,13146,60,1280904.14
2070230,296557,138012,46266,41,470342.81
3947389,272579,84590,45939,33,1065304.97
4342807,250272,106399,14202,28,1184813.14
4883874,447127,59145,37142,25,1422630.77
3802279,28067,150000,63828,45,917753.62
2321690,87794,57520,87367,59,495954.26
3191650,355967,4544,59046,57,876416.42
691234,331368,54812,9849,61,97851.73
2148260,466441,150000,59272,25,539893.85
4533486,1379,150000,20439,28,1151100.91
1721101,364691,119090,82526,64,377262.91
4578368,108541,99054,78872,24,1196202.7
4608324,420840,150000,35344,61,1300671.84
3336729,484716,150000,88489,42,907282.27
1097421,219499,150000,53276,34,136856.93
322409,114634,132689,5051,39,0.0
2216716,253579,100834,49474,33,513235.94
2550770,390845,134405,75604,55,641661.07
969598,319889,40002,16967,24,173945.62
3467824,445021,150000,21773,53,956614.46
3531068,103915,131583,96550,42,852337.2
3456415,405732,112850,74383,21,935973.17
1074371,210494,130011,70417,31,127744.34
3032868,216915,150000,41182,36,743683.51
4072998,129560,121548,63589,24,1042835.35
1173548,155915,31786,73235,49,171425.9
3544014,136984,36244,24180,59,919019.09
1413475,152586,67261,64372,64,236941.54
3670495,218431,18477,51372,58,980952.02
3159034,188104,150000,69086,44,765352.22
4774293,422013,150000,22163,29,1356932.62
243585,137521,8496,63089,28,495.09
3257213,132797,120522,95211,34,779774.42
2739448,343550,143342,32934,35,696297.26
309556,9304,20724,55595,42,0.0
1775557,466274,30416,26592,57,471064.78
4227419,125555,35575,23039,35,1129240.32
4594539,406879,76614,64099,26,1305939.96
2323091,332464,93566,89262,21,560890.82
2209021,468224,148480,34018,40,567761.06
1401482,94488,127192,53158,61,199873.44
742335,258490,19359,4558,56,101796.86
3633977,337735,139770,32174,22,974927.62
4470070,357188,150000,95941,26,1218770.9
3760920,143748,43634,42631,22,980741.74
2684413,287336,117255,67687,23,658883.78
3107360,261602,42864,15552,27,822290.35
2982592,417938,94482,35065,40,809946.7
2435000,138518,37355,2614,61,579867.29
4522252,381448,37690,34647,61,1296785.26
602690,397941,150000,57940,25,63479.73
4893350,216669,150000,620,45,1336732.49
2748421,88207,56630,23082,58,649557.79
4416263,188704,150000,21891,38,1172519.71
4006618,198017,21658,62395,21,1075021.58
2154109,73741,15797,50955,45,463662.58
4622880,16365,58799,32314,37,1208417.18
3312754,327936,118301,23500,35,881053.37
1584250,195929,52236,53685,25,311768.5
4225717,247481,6265,64783,37,1162870.8
261087,146776,125611,50189,41,0.0
1696176,312719,150000,93554,43,340186.39
2086013,160974,121754,19567,63,446367.79
4834096,381785,150000,25978,30,1361849.74
239353,232366,150000,76089,37,0.0
3560011,394411,91426,9630,21,991650.19
4459622,250319,150000,12003,57,1208356.66
616880,315661,145378,41444,27,53709.55
1013168,34012,150000,86184,32,67287.17
425281,142487,150000,31607,60,4480.37
3317697,432750,142957,24821,21,907192.73
3982875,21686,109681,14601,40,1000047.05
3195765,208270,43826,45904,64,823463.16
469536,159815,55597,71657,51,10509.04
4572093,32161,138515,38557,24,1170680.78
1761729,454529,97375,52523,46,434104.32
2422809,247066,17084,81846,32,591534.84
881669,239689,89447,50502,42,102733.07
4064822,264546,4383,22098,21,1131900.74
1319043,63190,92313,45902,21,177533.62
3529462,246256,34361,89067,23,928914.48
2406903,445767,80294,39253,32,642134.38
1941093,275419,61331,75516,41,438255.48
2758231,159254,95057,44280,33,656182.18
4500385,14915,150000,8951,33,1148580.89
3280389,263053,150000,8117,61,845621.4
1861909,376254,121685,25979,38,441635.69
2856138,65908,96917,74525,53,647588.45
310078,127337,30932,16915,26,4657.54
2115631,284764,1908,59261,45,519238.51
1604104,34112,150000,95071,43,224061.24
2208187,205123,30412,97660,44,502394.26
1859066,2431,128319,98902,57,299294.11
4373125,86590,83710,72964,46,1131948.79
2348815,324319,2928,90417,24,594294.17
4224066,117472,65158,70440,58,1101653.28
4706259,294768,150000,35677,55,1291789.2
4335314,207193,32309,49830,31,1181034.82
1110681,61264,9280,52536,56,135760.25
1807618,375910,40449,8922,45,455256.98
4096830,163030,26957,96696,40,1079896.58
4536787,394911,150000,67561,21,1260210.74
2955423,362355,70499,13220,50,798426.41
2233350,119502,93057,45958,24,480117.14
2511987,443148,110065,53380,43,660407.28
4796200,230395,150000,2766,55,1310034.65
4871399,306369,74893,84018,62,1355283.38
271295,132475,150000,33159,42,0.0
943974,476562,25176,10935,51,221340.6
3645376,205463,149481,3784,21,943043.09
3812600,169708,56967,88586,24,986467.56
1025816,272983,987,20221,39,188008.39
574705,458762,150000,29179,50,76291.9
3917270,235706,150000,18069,21,1032690.98
2056926,178901,96854,35682,39,445626.79
1858845,140302,26015,56268,41,387461.57
2226793,51977,112350,91530,42,436765.68
754594,433448,66404,94303,22,112285.68
347718,375194,116751,77818,26,11873.84
3704473,494523,128807,20110,41,1053024.65
2404664,225864,150000,31232,53,553580.35
4541747,25651,150000,44273,39,1153815.0
1719163,97919,48231,70487,47,319289.57
4767920,302107,150000,55210,57,1307222.9
886976,186944,28305,73191,49,100864.19
2672189,117776,54306,29461,48,633733.78
3341259,341342,121139,4610,54,899137.82
317796,144811,18318,56973,21,4540.43
1441082,130697,144318,97153,45,204456.1
4314639,325438,150000,83004,41,1164406.78
2888130,179428,150000,7583,54,697312.2
3874515,1789,21584,25583,46,984090.74
1779159,412636,15169,17701,56,462984.6
1107317,351441,25968,6880,55,234283.92
2685367,236974,137457,89257,43,630435.62
4715488,261413,122684,51845,37,1287740.06
868234,168678,115391,92390,62,71059.25
578480,431856,25444,72417,32,88394.8
991971,380485,106081,3722,64,183347.74
701157,44135,62497,20077,40,36445.34
4578727,37067,5362,80868,59,1202623.97
4324499,451636,99254,13229,47,1244459.42
2813501,279501,139322,73338,62,688066.7
3121944,170923,68354,61679,57,776204.21
4527576,300406,36368,87637,40,1257040.82
3283153,207925,44109,11439,31,861285.36
2999487,320787,150000,35902,48,767324.06
3104941,414750,150000,2598,22,839933.02
2300021,353414,27426,92297,44,579918.14
1560828,494649,117632,4052,36,392743.42
818467,163944,112637,12741,32,76862.86
2335619,498953,39023,69360,36,639970.97
4155488,400905,122268,36288,56,1161525.14
4874351,69103,150000,1249,22,1284567.96
1907923,348412,150000,22970,45,439409.88
328391,86310,150000,15565,49,0.0
1217026,481947,109211,56995,48,267623.3
4501754,37412,94897,83994,30,1149805.8
2469042,309878,150000,51656,43,593506.37
2183509,349937,147079,62134,52,514560.7
316381,201002,79777,45765,51,4775.73
1721701,495054,44858,2014,39,466403.5
1820197,22228,150000,70480,35,295446.84
2431660,120627,90042,99252,53,526653.82
1978226,340068,83098,14012,37,482409.41
1399386,11319,20239,57498,56,205286.02
3638618,6475,150000,68776,40,858410.9
2214484,228163,144137,61711,29,487281.29
3137629,476910,110951,42530,58,869250.1
2657184,145800,41291,79267,23,626316.91
3343963,241382,38805,18018,22,890298.86
4303022,291689,98831,17916,38,1186524.77
1618175,358780,149515,40376,43,346963.97
4006688,474902,9290,93140,39,1155697.92
3972962,491966,131283,65046,27,1121202.89
4391423,229484,83634,58742,55,1186701.67
4241776,192828,19072,85566,40,1140349.39
2927423,199847,43290,77125,40,727538.76
1960427,431915,85186,87519,39,481926.74
4518427,430037,15115,12437,61,1324724.54
3651356,292759,5149,62146,36,998967.84
1331565,275890,41992,27618,58,269207.64
3644084,479673,17716,50767,41,1054645.49
3127109,153817,97724,9705,49,779531.06
4572578,263389,13621,57146,64,1276142.4
2709079,117408,137892,88216,58,600718.25
3087004,112143,113065,80912,44,727013.04
2131760,418069,150000,51750,57,522000.65
331373,289776,150000,90956,49,4170.04
315294,275000,30399,44379,51,11206.83
3332514,187965,119374,52682,59,834107.98
4535868,463857,145074,64713,32,1283860.66
1626388,232298,43098,56919,50,338104.73
4051424,68049,45511,60384,24,1041636.34
2415167,320326,53243,51128,50,610310.06
4086402,396017,115131,1835,25,1151421.34
889944,228953,28750,21283,36,122885.57
888105,210503,148382,49506,47,85949.76
2810910,170821,55398,53625,24,685684.9
2189173,204829,44345,35963,28,511272.53
3280761,317798,93430,9179,28,880136.4
1614466,202646,114921,94440,37,291018.31
645101,490783,91729,99210,64,95148.56
1305534,317525,51843,11955,23,275889.43
3427802,58601,141294,7198,47,830828.23
1783593,146154,150000,67156,54,323728.39
2003649,145720,131458,44588,41,405076.78
1424665,262508,64334,11766,63,292054.78
2494544,165640,67170,96626,44,568273.06
4553127,472862,40878,53570,64,1328040.79
698863,464710,150000,69874,61,94889.39
567654,205704,150000,48679,49,18133.23
2876188,269580,90352,5301,59,741035.88
3495990,348857,150000,15144,26,937467.34
1692785,419970,150000,13784,34,397478.95
997079,322338,18383,67959,34,174119.4
4242787,24544,135973,8272,57,1075802.83
4128083,453396,42889,1573,44,1204949.3
2899015,63295,14633,24419,33,701456.5
3614527,405854,62244,82339,21,998648.98
1486125,196787,129177,98770,32,243349.08
3940047,69409,150000,48555,62,978401.11
648982,249720,150000,5176,44,53253.41
1372622,476322,141779,36161,57,310753.25
2703771,126839,83597,63440,40,626674.78
3377825,375903,150000,58862,26,895398.19
1196161,279301,150000,15164,32,198212.98
4383839,176637,15115,77758,41,1183292.14
866326,201068,75379,25379,23,99660.29
849150,65888,39979,91189,47,61644.96
3575957,187167,150000,83552,56,890626.46
318834,327091,69377,18368,37,14701.44
3439576,480338,6416,89041,35,982630.58
3398649,333024,141705,32771,59,899245.46
4679125,4507,128785,64950,24,1190247.86
4449913,365278,131666,40245,37,1238103.36
4622201,43988,145465,98906,58,1169007.22
1279600,360565,150000,72792,31,231620.38
1225715,147937,150000,43327,32,157661.4
1638533,364735,130364,46454,52,359252.4
2481230,391758,97507,93787,47,626088.53
3703157,27213,118243,46741,64,901800.43
661243,449170,135933,31977,63,94640.62
2258852,57450,103070,98200,47,449289.98
3459360,397693,36126,6714,60,979434.46
2185588,62222,80382,77237,64,441539.59
451451,399749,150000,14891,49,41352.27
4397355,442611,18228,52299,29,1277464.97
1952683,154468,24009,65167,63,419008.2
1204646,12755,94,65124,23,148881.1
1171525,131937,80636,93052,59,141889.49
4067500,142245,150000,58639,49,1037745.07
4583711,189977,98453,40912,41,1235308.78
649395,169169,148502,75452,55,22278.88
1460386,295515,150000,68446,30,269085.96
3254390,235132,54486,83790,43,834988.75
3579569,404470,90510,61516,59,984988.06
3100603,135090,150000,44250,45,738330.22
3167197,267336,20860,36116,44,843197.78
422866,264159,72812,83521,40,11995.98
1335248,370298,66087,22151,35,294000.1
1846711,199988,139558,71366,41,362161.8
1623286,28343,49607,44297,62,275410.2
3895961,331450,140817,40888,32,1051660.27
3377945,5829,106664,56195,38,794325.48
3613821,34381,18330,84010,43,895708.94
383062,373595,120803,71016,61,16086.3
2691518,212153,150000,74979,49,625151.9
3041992,280407,150000,54334,61,762236.28
4494539,234748,150000,98474,56,1187413.66
3420468,446476,43336,68345,25,961042.06
1003328,436522,8070,39761,59,223709.93
4262958,484427,1320,26930,46,1261770.12
1243233,320562,89043,59117,59,231078.12
1911741,221970,38921,23095,31,435768.84
729525,148,6589,77482,62,32885.22
376615,394970,150000,3991,31,27059.55
4581932,288889,92995,23519,38,1272743.78
2935988,72914,15589,26657,32,714996.67
4801020,449049,36375,826,36,1415814.82
3899391,413356,43085,42625,47,1108235.54
741252,468123,60840,82049,56,122143.63
1886293,60653,150000,17801,37,344493.24
3812610,223607,98704,29846,41,1008592.1
2364367,192593,150000,39566,57,528026.93
2104050,340459,97047,23157,51,514583.16
344356,293219,150000,28363,55,8279.02
4598165,423913,30982,50559,47,1330847.54
3299320,447760,59720,5136,43,938253.89
555612,9795,147818,57937,52,3101.9
3800333,64555,28514,17421,37,980913.34
209435,445420,150000,78027,31,6595.06
4841860,235068,134923,7546,21,1328951.21
1948014,462970,150000,71439,48,472538.04
3921309,458076,76034,46623,38,1117499.14
4473085,103107,150000,16406,61,1165253.23
2488627,313673,98388,80485,40,607909.22
964121,404888,150000,9825,27,166665.41
1369748,447454,150000,71823,57,287158.25
3702630,227650,44845,34173,36,990993.74
2782115,167022,147002,55619,59,646312.99
1307677,11009,110853,83114,43,140312.33
488790,178168,108417,7923,52,13128.54
2844489,150616,113436,34374,37,677756.04
1608836,448944,21159,61713,39,405571.3
1841249,29381,89788,41411,62,332102.47
3893305,389913,24003,64368,54,1098192.26
4666271,418503,105722,8316,34,1340269.63
4585536,326754,35139,10556,23,1307777.64
1552695,68122,52452,10058,59,275591.78
2306692,330328,22205,99987,45,574026.34
1789228,433297,56955,25482,31,457107.46
3743555,214709,7464,44494,35,1008167.47
2849103,438528,9840,25005,39,804269.23
1300567,87228,40768,84671,63,183255.07
2485903,335087,140533,89424,35,597802.3
4032065,476006,20927,32481,35,1179254.86
249115,80770,98622,28401,58,0.0
3537690,52726,15329,40431,35,892212.67
921747,415427,15791,64459,29,181560.29
4930530,422696,52627,90473,25,1414959.31
3249851,309924,128885,78682,39,835288.9
3023100,188210,145444,95637,44,716111.45
3184626,221454,150000,76789,49,781338.79
1604330,304647,109554,48504,25,335686.73
451492,320037,130436,3223,42,31276.96
4235851,177265,87073,70977,33,1116980.59
691072,245074,34370,40149,49,77818.42
1286880,323502,51408,12863,36,271786.63
4899303,80857,90941,29564,56,1305612.36
4725897,471398,150000,82189,37,1338513.07
2255723,382601,146306,89624,40,538946.93
2448988,415333,138604,22499,34,632804.02
4503244,259405,35416,89218,26,1236460.68
1514093,190128,72439,32132,42,288490.8
2964673,117928,18242,4533,60,744065.71
